Rater,Film,Win
SAG,Mystic River,-1
SAG,Seabiscuit,-1
SAG,The Station Agent,-1
SAG,The Aviator,-1
SAG,Finding Neverland,-1
SAG,Hotel Rwanda,-1
SAG,Million Dollar Baby,-1
SAG,Ray,-1
SAG,Brokeback Mountain,-1
SAG,Capote,-1
SAG,"Good Night, and Good Luck",-1
SAG,Hustle & Flow,-1
SAG,Babel,-1
SAG,Bobby,-1
SAG,The Departed,-1
SAG,Dreamgirls,-1
SAG,3:10 to Yuma,-1
SAG,American Gangster,-1
SAG,Hairspray,-1
SAG,Into the Wild,-1
SAG,The Curious Case of Benjamin Button,-1
SAG,Doubt,-1
SAG,Frost/Nixon,-1
SAG,Milk,-1
SAG,An Education,-1
SAG,The Hurt Locker,-1
SAG,Nine,-1
SAG,Precious,-1
SAG,Black Swan,-1
SAG,The Fighter,-1
SAG,The Kids Are All Right,-1
SAG,The Social Network,-1
SAG,The Artist,-1
SAG,Bridesmaids,-1
SAG,The Descendants,-1
SAG,Midnight in Paris,-1
SAG,The Best Exotic Marigold Hotel,-1
SAG,Les Misérables,-1
SAG,Lincoln,-1
SAG,Silver Linings Playbook,-1
SAG,12 Years a Slave,-1
SAG,August: Osage County,-1
SAG,The Butler,-1
SAG,Dallas Buyers Club,-1
SAG,Boyhood,-1
SAG,The Grand Budapest Hotel,-1
SAG,The Imitation Game,-1
SAG,The Theory of Everything,-1
SAG,Beasts of No Nation,-1
SAG,The Big Short,-1
SAG,Straight Outta Compton,-1
SAG,Trumbo,-1
SAG,Captain Fantastic,-1
SAG,Fences,-1
SAG,Manchester by the Sea,-1
SAG,Moonlight,-1
SAG,The Big Sick,-1
SAG,Get Out,-1
SAG,Lady Bird,-1
SAG,Mudbound,-1
SAG,BlacKkKlansman,-1
SAG,Bohemian Rhapsody,-1
SAG,Crazy Rich Asians,-1
SAG,A Star Is Born,-1
CC,Sense and Sensibility,1
CC,Fargo,1
CC,L.A. Confidential,1
CC,Saving Private Ryan,1
CC,American Beauty,1
CC,Gladiator,1
CC,A Beautiful Mind,1
CC,Chicago,1
CC,The Lord of the Rings: The Return of the King,1
CC,Sideways,1
CC,Brokeback Mountain,1
CC,The Departed,1
CC,No Country for Old Men,1
CC,Slumdog Millionaire,1
CC,The Hurt Locker,1
CC,The Social Network,1
CC,The Artist,1
CC,Argo,1
CC,12 Years a Slave,1
CC,Boyhood,1
CC,Spotlight,1
CC,Moonlight,1
CC,The Shape of Water,1
CC,Roma,1
CC,Big Night,-1
CC,The Crucible,-1
CC,The English Patient,-1
CC,Evita,-1
CC,Hamlet,-1
CC,Jerry Maguire,-1
CC,Lone Star,-1
CC,The People vs. Larry Flynt,-1
CC,Shine,-1
CC,Amistad,-1
CC,As Good as It Gets,-1
CC,Boogie Nights,-1
CC,Donnie Brasco,-1
CC,Good Will Hunting,-1
CC,The Full Monty,-1
CC,Titanic,-1
CC,Wag the Dog,-1
CC,The Wings of the Dove,-1
CC,Elizabeth,-1
CC,Gods and Monsters,-1
CC,Life Is Beautiful,-1
CC,Out of Sight,-1
CC,Pleasantville,-1
CC,Shakespeare in Love,-1
CC,A Simple Plan,-1
CC,The Thin Red Line,-1
CC,The Truman Show,-1
CC,Being John Malkovich,-1
CC,The Cider House Rules,-1
CC,The Green Mile,-1
CC,The Insider,-1
CC,Magnolia,-1
CC,Man on the Moon,-1
CC,The Sixth Sense,-1
CC,The Talented Mr. Ripley,-1
CC,Three Kings,-1
CC,Big Night,-1
CC,The Crucible,-1
CC,The English Patient,-1
CC,Evita,-1
CC,Hamlet,-1
CC,Jerry Maguire,-1
CC,Lone Star,-1
CC,The People vs. Larry Flynt,-1
CC,Shine,-1
CC,Amistad,-1
CC,As Good as It Gets,-1
CC,Boogie Nights,-1
CC,Donnie Brasco,-1
CC,Good Will Hunting,-1
CC,The Full Monty,-1
CC,Titanic,-1
CC,Wag the Dog,-1
CC,The Wings of the Dove,-1
CC,Elizabeth,-1
CC,Gods and Monsters,-1
CC,Life Is Beautiful,-1
CC,Out of Sight,-1
CC,Pleasantville,-1
CC,Shakespeare in Love,-1
CC,A Simple Plan,-1
CC,The Thin Red Line,-1
CC,The Truman Show,-1
CC,Being John Malkovich,-1
CC,The Cider House Rules,-1
CC,The Green Mile,-1
CC,The Insider,-1
CC,Magnolia,-1
CC,Man on the Moon,-1
CC,The Sixth Sense,-1
CC,The Talented Mr. Ripley,-1
CC,Three Kings,-1
CC,Almost Famous,-1
CC,Billy Elliot,-1
CC,Cast Away,-1
CC,"Crouching Tiger, Hidden Dragon",-1
CC,Erin Brockovich,-1
CC,Quills,-1
CC,Thirteen Days,-1
CC,Traffic,-1
CC,Wonder Boys,-1
CC,You Can Count On Me,-1
CC,Ali,-1
CC,In the Bedroom,-1
CC,The Lord of the Rings: The Fellowship of the Ring,-1
CC,The Man Who Wasn't There,-1
CC,Memento,-1
CC,Moulin Rouge!,-1
CC,Mulholland Drive,-1
CC,The Shipping News,-1
CC,Shrek,-1
CC,About Schmidt,-1
CC,Adaptation,-1
CC,Catch Me If You Can,-1
CC,Far from Heaven,-1
CC,Gangs of New York,-1
CC,The Hours,-1
CC,The Lord of the Rings: The Two Towers,-1
CC,The Pianist,-1
CC,Road to Perdition,-1
CC,Big Fish,-1
CC,Cold Mountain,-1
CC,Finding Nemo,-1
CC,In America,-1
CC,The Last Samurai,-1
CC,Lost in Translation,-1
CC,Master and Commander: The Far Side of the World,-1
CC,Mystic River,-1
CC,Seabiscuit,-1
CC,The Aviator,-1
CC,Collateral,-1
CC,Eternal Sunshine of the Spotless Mind,-1
CC,Finding Neverland,-1
CC,Hotel Rwanda,-1
CC,Kinsey,-1
CC,Million Dollar Baby,-1
CC,The Phantom of the Opera,-1
CC,Ray,-1
CC,Capote,-1
CC,Cinderella Man,-1
CC,The Constant Gardener,-1
CC,Crash,-1
CC,"Good Night, and Good Luck",-1
CC,King Kong,-1
CC,Memoirs of a Geisha,-1
CC,Munich,-1
CC,Walk the Line,-1
CC,Babel,-1
CC,Blood Diamond,-1
CC,Dreamgirls,-1
CC,Letters from Iwo Jima,-1
CC,Little Children,-1
CC,Little Miss Sunshine,-1
CC,Notes on a Scandal,-1
CC,The Queen,-1
CC,United 93,-1
CC,American Gangster,-1
CC,Atonement,-1
CC,The Diving Bell and the Butterfly,-1
CC,Into the Wild,-1
CC,Juno,-1
CC,The Kite Runner,-1
CC,Michael Clayton,-1
CC,Sweeney Todd: The Demon Barber of Fleet Street,-1
CC,There Will Be Blood,-1
CC,Changeling,-1
CC,The Curious Case of Benjamin Button,-1
CC,The Dark Knight,-1
CC,Doubt,-1
CC,Frost/Nixon,-1
CC,Milk,-1
CC,The Reader,-1
CC,WALL-E,-1
CC,The Wrestler,-1
CC,Avatar,-1
CC,An Education,-1
CC,Inglourious Basterds,-1
CC,Invictus,-1
CC,Nine,-1
CC,Precious,-1
CC,A Serious Man,-1
CC,Up,-1
CC,Up in the Air,-1
CC,Almost Famous,-1
CC,Billy Elliot,-1
CC,Cast Away,-1
CC,"Crouching Tiger, Hidden Dragon",-1
CC,Erin Brockovich,-1
CC,Quills,-1
CC,Thirteen Days,-1
CC,Traffic,-1
CC,Wonder Boys,-1
CC,You Can Count On Me,-1
CC,Ali,-1
CC,In the Bedroom,-1
CC,The Lord of the Rings: The Fellowship of the Ring,-1
CC,The Man Who Wasn't There,-1
CC,Memento,-1
CC,Moulin Rouge!,-1
CC,Mulholland Drive,-1
CC,The Shipping News,-1
CC,Shrek,-1
CC,About Schmidt,-1
CC,Adaptation,-1
CC,Catch Me If You Can,-1
CC,Far from Heaven,-1
CC,Gangs of New York,-1
CC,The Hours,-1
CC,The Lord of the Rings: The Two Towers,-1
CC,The Pianist,-1
CC,Road to Perdition,-1
CC,Big Fish,-1
CC,Cold Mountain,-1
CC,Finding Nemo,-1
CC,In America,-1
CC,The Last Samurai,-1
CC,Lost in Translation,-1
CC,Master and Commander: The Far Side of the World,-1
CC,Mystic River,-1
CC,Seabiscuit,-1
CC,The Aviator,-1
CC,Collateral,-1
CC,Eternal Sunshine of the Spotless Mind,-1
CC,Finding Neverland,-1
CC,Hotel Rwanda,-1
CC,Kinsey,-1
CC,Million Dollar Baby,-1
CC,The Phantom of the Opera,-1
CC,Ray,-1
CC,Capote,-1
CC,Cinderella Man,-1
CC,The Constant Gardener,-1
CC,Crash,-1
CC,"Good Night, and Good Luck",-1
CC,King Kong,-1
CC,Memoirs of a Geisha,-1
CC,Munich,-1
CC,Walk the Line,-1
CC,Babel,-1
CC,Blood Diamond,-1
CC,Dreamgirls,-1
CC,Letters from Iwo Jima,-1
CC,Little Children,-1
CC,Little Miss Sunshine,-1
CC,Notes on a Scandal,-1
CC,The Queen,-1
CC,United 93,-1
CC,American Gangster,-1
CC,Atonement,-1
CC,The Diving Bell and the Butterfly,-1
CC,Into the Wild,-1
CC,Juno,-1
CC,The Kite Runner,-1
CC,Michael Clayton,-1
CC,Sweeney Todd: The Demon Barber of Fleet Street,-1
CC,There Will Be Blood,-1
CC,Changeling,-1
CC,The Curious Case of Benjamin Button,-1
CC,The Dark Knight,-1
CC,Doubt,-1
CC,Frost/Nixon,-1
CC,Milk,-1
CC,The Reader,-1
CC,WALL-E,-1
CC,The Wrestler,-1
CC,Avatar,-1
CC,An Education,-1
CC,Inglourious Basterds,-1
CC,Invictus,-1
CC,Nine,-1
CC,Precious,-1
CC,A Serious Man,-1
CC,Up,-1
CC,Up in the Air,-1
CC,127 Hours,-1
CC,Black Swan,-1
CC,The Fighter,-1
CC,Inception,-1
CC,The King's Speech,-1
CC,The Town,-1
CC,Toy Story 3,-1
CC,True Grit,-1
CC,Winter's Bone,-1
CC,The Descendants,-1
CC,Drive,-1
CC,Extremely Loud & Incredibly Close,-1
CC,The Help,-1
CC,Hugo,-1
CC,Midnight in Paris,-1
CC,Moneyball,-1
CC,The Tree of Life,-1
CC,War Horse,-1
CC,Beasts of the Southern Wild,-1
CC,Django Unchained,-1
CC,Les Misérables,-1
CC,Life of Pi,-1
CC,Lincoln,-1
CC,The Master,-1
CC,Moonrise Kingdom,-1
CC,Silver Linings Playbook,-1
CC,Zero Dark Thirty,-1
CC,American Hustle,-1
CC,Captain Phillips,-1
CC,Dallas Buyers Club,-1
CC,Gravity,-1
CC,Her,-1
CC,Inside Llewyn Davis,-1
CC,Nebraska,-1
CC,Saving Mr. Banks,-1
CC,The Wolf of Wall Street,-1
CC,Birdman,-1
CC,Gone Girl,-1
CC,The Grand Budapest Hotel,-1
CC,The Imitation Game,-1
CC,Nightcrawler,-1
CC,Selma,-1
CC,The Theory of Everything,-1
CC,Unbroken,-1
CC,Whiplash,-1
CC,The Big Short,-1
CC,Bridge of Spies,-1
CC,Brooklyn,-1
CC,Carol,-1
CC,Mad Max: Fury Road,-1
CC,The Martian,-1
CC,The Revenant,-1
CC,Room,-1
CC,Sicario,-1
CC,Star Wars: The Force Awakens,-1
CC,Arrival,-1
CC,Fences,-1
CC,Hacksaw Ridge,-1
CC,Hell or High Water,-1
CC,La La Land,-1
CC,Lion,-1
CC,Loving,-1
CC,Manchester by the Sea,-1
CC,Sully,-1
CC,The Big Sick,-1
CC,Call Me by Your Name,-1
CC,Darkest Hour,-1
CC,Dunkirk,-1
CC,The Florida Project,-1
CC,Get Out,-1
CC,Lady Bird,-1
CC,The Post,-1
CC,"Three Billboards Outside Ebbing, Missouri",-1
CC,BlacKkKlansman,-1
CC,Black Panther,-1
CC,The Favourite,-1
CC,First Man,-1
CC,Green Book,-1
CC,If Beale Street Could Talk,-1
CC,Mary Poppins Returns,-1
CC,A Star Is Born,-1
CC,Vice,-1
CC,127 Hours,-1
CC,Black Swan,-1
CC,The Fighter,-1
CC,Inception,-1
CC,The King's Speech,-1
CC,The Town,-1
CC,Toy Story 3,-1
CC,True Grit,-1
CC,Winter's Bone,-1
CC,The Descendants,-1
CC,Drive,-1
CC,Extremely Loud & Incredibly Close,-1
CC,The Help,-1
CC,Hugo,-1
CC,Midnight in Paris,-1
CC,Moneyball,-1
CC,The Tree of Life,-1
CC,War Horse,-1
CC,Beasts of the Southern Wild,-1
CC,Django Unchained,-1
CC,Les Misérables,-1
CC,Life of Pi,-1
CC,Lincoln,-1
CC,The Master,-1
CC,Moonrise Kingdom,-1
CC,Silver Linings Playbook,-1
CC,Zero Dark Thirty,-1
CC,American Hustle,-1
CC,Captain Phillips,-1
CC,Dallas Buyers Club,-1
CC,Gravity,-1
CC,Her,-1
CC,Inside Llewyn Davis,-1
CC,Nebraska,-1
CC,Saving Mr. Banks,-1
CC,The Wolf of Wall Street,-1
CC,Birdman,-1
CC,Gone Girl,-1
CC,The Grand Budapest Hotel,-1
CC,The Imitation Game,-1
CC,Nightcrawler,-1
CC,Selma,-1
CC,The Theory of Everything,-1
CC,Unbroken,-1
CC,Whiplash,-1
CC,The Big Short,-1
CC,Bridge of Spies,-1
CC,Brooklyn,-1
CC,Carol,-1
CC,Mad Max: Fury Road,-1
CC,The Martian,-1
CC,The Revenant,-1
CC,Room,-1
CC,Sicario,-1
CC,Star Wars: The Force Awakens,-1
CC,Arrival,-1
CC,Fences,-1
CC,Hacksaw Ridge,-1
CC,Hell or High Water,-1
CC,La La Land,-1
CC,Lion,-1
CC,Loving,-1
CC,Manchester by the Sea,-1
CC,Sully,-1
CC,The Big Sick,-1
CC,Call Me by Your Name,-1
CC,Darkest Hour,-1
CC,Dunkirk,-1
CC,The Florida Project,-1
CC,Get Out,-1
CC,Lady Bird,-1
CC,The Post,-1
CC,"Three Billboards Outside Ebbing, Missouri",-1
CC,BlacKkKlansman,-1
CC,Black Panther,-1
CC,The Favourite,-1
CC,First Man,-1
CC,Green Book,-1
CC,If Beale Street Could Talk,-1
CC,Mary Poppins Returns,-1
CC,A Star Is Born,-1
CC,Vice,-1
